ecosystem,package_name,package_version,popularity_tier,source,repository_url,repository_full_name,license_spdx_id
github,maltaisn/calcdialoglib,repository-snapshot,low,github-search:small-slowing,https://github.com/maltaisn/calcdialoglib,maltaisn/calcdialoglib,Apache-2.0
github,vletoux/GidsApplet,repository-snapshot,low,github-search:small-slowing,https://github.com/vletoux/GidsApplet,vletoux/GidsApplet,GPL-3.0
github,asleepyfish/chatgpt,repository-snapshot,medium,github-search:small-slowing,https://github.com/asleepyfish/chatgpt,asleepyfish/chatgpt,MIT
github,WisdomShell/codeshell-intellij,repository-snapshot,low,github-search:small-slowing,https://github.com/WisdomShell/codeshell-intellij,WisdomShell/codeshell-intellij,Apache-2.0
github,zifeihan/friday,repository-snapshot,medium,github-search:small-slowing,https://github.com/zifeihan/friday,zifeihan/friday,Apache-2.0
github,davidmc24/gradle-avro-plugin,repository-snapshot,medium,github-search:small-slowing,https://github.com/davidmc24/gradle-avro-plugin,davidmc24/gradle-avro-plugin,Apache-2.0
github,termux/TermuxAm,repository-snapshot,low,github-search:small-slowing,https://github.com/termux/TermuxAm,termux/TermuxAm,Apache-2.0
github,dvdgeisler/DirigeraClient,repository-snapshot,low,github-search:small-slowing,https://github.com/dvdgeisler/DirigeraClient,dvdgeisler/DirigeraClient,MIT
github,MrIkso/ApkRepacker,repository-snapshot,low,github-search:small-slowing,https://github.com/MrIkso/ApkRepacker,MrIkso/ApkRepacker,GPL-3.0
github,whoiszxl/tt-zhipin,repository-snapshot,medium,github-search:small-slowing,https://github.com/whoiszxl/tt-zhipin,whoiszxl/tt-zhipin,Apache-2.0
github,37214728aaa/android_key_logger,repository-snapshot,medium,github-search:small-slowing,https://github.com/37214728aaa/android_key_logger,37214728aaa/android_key_logger,Apache-2.0
github,gisgraphy/gisgraphy,repository-snapshot,medium,github-search:small-slowing,https://github.com/gisgraphy/gisgraphy,gisgraphy/gisgraphy,LGPL-3.0
github,arey/spring-batch-toolkit,repository-snapshot,low,github-search:small-dormant,https://github.com/arey/spring-batch-toolkit,arey/spring-batch-toolkit,Apache-2.0
github,rtyley/agit,repository-snapshot,medium,github-search:small-dormant,https://github.com/rtyley/agit,rtyley/agit,GPL-3.0
github,volekerb/testing-lectures,repository-snapshot,low,github-search:small-dormant,https://github.com/volekerb/testing-lectures,volekerb/testing-lectures,MIT
github,mmjang/ankihelper,repository-snapshot,medium,github-search:small-dormant,https://github.com/mmjang/ankihelper,mmjang/ankihelper,GPL-3.0
github,ITVlab/TvAppRepo,repository-snapshot,medium,github-search:small-dormant,https://github.com/ITVlab/TvAppRepo,ITVlab/TvAppRepo,Apache-2.0
github,EngineHub/Intake,repository-snapshot,low,github-search:small-dormant,https://github.com/EngineHub/Intake,EngineHub/Intake,LGPL-3.0
github,xtools-at/Android-PWA-Wrapper,repository-snapshot,medium,github-search:small-dormant,https://github.com/xtools-at/Android-PWA-Wrapper,xtools-at/Android-PWA-Wrapper,GPL-3.0
github,krazykira/VidEffects,repository-snapshot,medium,github-search:small-dormant,https://github.com/krazykira/VidEffects,krazykira/VidEffects,Apache-2.0
github,fuhoujun/e,repository-snapshot,medium,github-search:small-dormant,https://github.com/fuhoujun/e,fuhoujun/e,Apache-2.0
github,zhe525069676/WeiBoLayout,repository-snapshot,medium,github-search:small-dormant,https://github.com/zhe525069676/WeiBoLayout,zhe525069676/WeiBoLayout,Apache-2.0
github,liyupi/father,repository-snapshot,medium,github-search:small-dormant,https://github.com/liyupi/father,liyupi/father,MIT
github,heineman/algorithms-nutshell-2ed,repository-snapshot,medium,github-search:small-dormant,https://github.com/heineman/algorithms-nutshell-2ed,heineman/algorithms-nutshell-2ed,MIT
github,SpigotMC/Spigot-API,repository-snapshot,low,github-search:small-dormant,https://github.com/SpigotMC/Spigot-API,SpigotMC/Spigot-API,GPL-3.0
github,posm/OpenMapKitAndroid,repository-snapshot,low,github-search:small-dormant,https://github.com/posm/OpenMapKitAndroid,posm/OpenMapKitAndroid,BSD-3-Clause
github,Dsiner/DMusic,repository-snapshot,low,github-search:small-dormant,https://github.com/Dsiner/DMusic,Dsiner/DMusic,Apache-2.0
github,soundpaint/rp2040pio,repository-snapshot,medium,github-search:small-dormant,https://github.com/soundpaint/rp2040pio,soundpaint/rp2040pio,GPL-2.0
github,satyamurti/ESP_For_PubgMobile,repository-snapshot,low,github-search:small-dormant,https://github.com/satyamurti/ESP_For_PubgMobile,satyamurti/ESP_For_PubgMobile,MIT
github,Sea-n/Android-TG-Bot,repository-snapshot,medium,github-search:small-dormant,https://github.com/Sea-n/Android-TG-Bot,Sea-n/Android-TG-Bot,Apache-2.0
github,thialfihar/apg,repository-snapshot,medium,github-search:small-dormant,https://github.com/thialfihar/apg,thialfihar/apg,GPL-3.0
github,napolitano/cordova-plugin-intent,repository-snapshot,low,github-search:small-dormant,https://github.com/napolitano/cordova-plugin-intent,napolitano/cordova-plugin-intent,MIT
github,andifalk/authorizationserver,repository-snapshot,low,github-search:small-dormant,https://github.com/andifalk/authorizationserver,andifalk/authorizationserver,Apache-2.0
github,chandevel/Clover,repository-snapshot,medium,github-search:small-archived,https://github.com/chandevel/Clover,chandevel/Clover,GPL-3.0
github,eBay/parallec,repository-snapshot,medium,github-search:small-archived,https://github.com/eBay/parallec,eBay/parallec,Apache-2.0
github,truizlop/SectionedRecyclerView,repository-snapshot,medium,github-search:small-archived,https://github.com/truizlop/SectionedRecyclerView,truizlop/SectionedRecyclerView,NOASSERTION
github,ThanosFisherman/WifiUtils,repository-snapshot,medium,github-search:small-archived,https://github.com/ThanosFisherman/WifiUtils,ThanosFisherman/WifiUtils,Apache-2.0
github,Netflix/suro,repository-snapshot,medium,github-search:small-archived,https://github.com/Netflix/suro,Netflix/suro,Apache-2.0
github,dermotte/LIRE,repository-snapshot,medium,github-search:small-archived,https://github.com/dermotte/LIRE,dermotte/LIRE,NOASSERTION
github,ZaneYork/SMAPI-Android-Installer,repository-snapshot,medium,github-search:small-archived,https://github.com/ZaneYork/SMAPI-Android-Installer,ZaneYork/SMAPI-Android-Installer,LGPL-3.0
github,republique-et-canton-de-geneve/chvote-1-0,repository-snapshot,medium,github-search:small-archived,https://github.com/republique-et-canton-de-geneve/chvote-1-0,republique-et-canton-de-geneve/chvote-1-0,AGPL-3.0
github,mandiant/Ghidrathon,repository-snapshot,medium,github-search:small-archived,https://github.com/mandiant/Ghidrathon,mandiant/Ghidrathon,Apache-2.0
github,lucasr/android-layout-samples,repository-snapshot,medium,github-search:small-archived,https://github.com/lucasr/android-layout-samples,lucasr/android-layout-samples,NOASSERTION
github,mikepenz/wallsplash-android,repository-snapshot,medium,github-search:small-archived,https://github.com/mikepenz/wallsplash-android,mikepenz/wallsplash-android,NOASSERTION
github,square/dagger-intellij-plugin,repository-snapshot,medium,github-search:small-archived,https://github.com/square/dagger-intellij-plugin,square/dagger-intellij-plugin,Apache-2.0
github,opacapp/multiline-collapsingtoolbar,repository-snapshot,medium,github-search:small-archived,https://github.com/opacapp/multiline-collapsingtoolbar,opacapp/multiline-collapsingtoolbar,NOASSERTION
github,didi/DRouter,repository-snapshot,medium,github-search:small-archived,https://github.com/didi/DRouter,didi/DRouter,Apache-2.0
github,apache/bahir-flink,repository-snapshot,medium,github-search:small-archived,https://github.com/apache/bahir-flink,apache/bahir-flink,Apache-2.0
github,neo4j-contrib/neo4j-graph-algorithms,repository-snapshot,medium,github-search:small-archived,https://github.com/neo4j-contrib/neo4j-graph-algorithms,neo4j-contrib/neo4j-graph-algorithms,GPL-3.0
github,ftctechnh/ftc_app,repository-snapshot,medium,github-search:small-archived,https://github.com/ftctechnh/ftc_app,ftctechnh/ftc_app,NOASSERTION
github,florent37/Depth,repository-snapshot,medium,github-search:small-archived,https://github.com/florent37/Depth,florent37/Depth,MIT
github,MozillaReality/FirefoxReality,repository-snapshot,medium,github-search:small-archived,https://github.com/MozillaReality/FirefoxReality,MozillaReality/FirefoxReality,MPL-2.0
github,rnewson/couchdb-lucene,repository-snapshot,medium,github-search:small-archived,https://github.com/rnewson/couchdb-lucene,rnewson/couchdb-lucene,Apache-2.0
github,material-foundation/material-remixer-android,repository-snapshot,medium,github-search:small-archived,https://github.com/material-foundation/material-remixer-android,material-foundation/material-remixer-android,Apache-2.0
github,android/codelab-android-room-with-a-view,repository-snapshot,medium,github-search:small-archived,https://github.com/android/codelab-android-room-with-a-view,android/codelab-android-room-with-a-view,Apache-2.0
github,droidparts/droidparts,repository-snapshot,medium,github-search:small-archived,https://github.com/droidparts/droidparts,droidparts/droidparts,Apache-2.0
github,googlearchive/android-JobScheduler,repository-snapshot,medium,github-search:small-archived,https://github.com/googlearchive/android-JobScheduler,googlearchive/android-JobScheduler,Apache-2.0
github,alibaba/alibaba-rsocket-broker,repository-snapshot,medium,github-search:small-archived,https://github.com/alibaba/alibaba-rsocket-broker,alibaba/alibaba-rsocket-broker,Apache-2.0
github,ckurtm/FabButton,repository-snapshot,medium,github-search:small-archived,https://github.com/ckurtm/FabButton,ckurtm/FabButton,NOASSERTION
github,1Panel-dev/CloudExplorer,repository-snapshot,medium,github-search:small-archived,https://github.com/1Panel-dev/CloudExplorer,1Panel-dev/CloudExplorer,GPL-3.0
github,javaee/glassfish,repository-snapshot,medium,github-search:small-archived,https://github.com/javaee/glassfish,javaee/glassfish,NOASSERTION
github,Manabu-GT/EtsyBlur,repository-snapshot,medium,github-search:small-archived,https://github.com/Manabu-GT/EtsyBlur,Manabu-GT/EtsyBlur,Apache-2.0
github,spring-attic/spring-android-samples,repository-snapshot,medium,github-search:small-archived,https://github.com/spring-attic/spring-android-samples,spring-attic/spring-android-samples,Apache-2.0
